SJ,17,$200,GRASSHOP-POURRI,This state's first major gold strike occurred about 65 miles SW of Butte on Grasshopper Creek on July 28 1862,Montana,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,18,$400,GAMBLING,(<a href="http://www.j-archive.com/media/2008-07-01_J_18.jpg" target="_blank">Sarah of the Clue Crew tries her hand at roulette.</a>) In Las Vegas the payout on a single number in roulette is this to 1, so on a 25-dollar bet, I'd win 875 dollars,35-to-1,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,19,$200,ARKANSAS,It's the U.S postal abbreviation for Arkansas,AR,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,20,$400,ARKANSAS,With about 185000 people, it's the largest city in the state,Little Rock,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,21,$600,ARKANSAS,The river forms most of Arkansas's eastern border,the Mississippi River,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,22,$800,ARKANSAS,Arkansas' official motto is "Regnat populus" meaning these "rule",the people,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,23,$1000,ARKANSAS,This Arkansas city is home to the William J. Clinton Birthplace,Hope,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,24,$400,GRASSHOP-POURRI,Chapultepec or Grasshopper Hill, in this capital city is the site of a castle that was home to the Emperor Maximilian,Mexico City,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,25,$600,GRASSHOP-POURRI,"It is best to prepare for the days of necessity" is the moral of this Aesop fable,"The Ant &amp; the Grasshopper",<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,26,$800,GRASSHOP-POURRI,In the "Kung Fu" TV series Master Po nicknamed this character "Grasshopper",Caine,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,27,$1000,GRASSHOP-POURRI,This short-named tribe of the SW was also known as Grasshopper Indians; the insect was a big part of their diet,Ute,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,28,$600,GAMBLING,(<a href="http://www.j-archive.com/media/2008-07-01_J_28.jpg" target="_blank">Cheryl &amp; Sarah play poker; Cheryl reads the clue.</a>) When I'm playing Texas Hold 'Em in this type of tournament &amp; I like my cards I move all my chips in,no-limit poker,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
SJ,29,$800,GAMBLING,(<a href="http://www.j-archive.com/media/2008-07-01_J_29.jpg" target="_blank">Cheryl plays a new game.</a>) The deck in this game which originated with Asian immigrants, has a 53rd card: a <a href="http://www.j-archive.com/media/2008-07-01_J_29a.jpg" target="_blank">joker</a>, which can be used as a wild card,pai gow,<a href="http://www.j-archive.com/showplayer.php?player_id=5075" rel="external" target="_blank">Karen Wegenke</a> a housewife from Sun Prairie, Wisconsin
